date	day	month	year	asx
36805	6	10	2000	3244.8
36812	13	10	2000	3157.6
36819	20	10	2000	3187.8
36826	27	10	2000	3195.7
36833	3	11	2000	3266.5
36840	10	11	2000	3250.8
36847	17	11	2000	3275.6
36854	24	11	2000	3230.7
36861	1	12	2000	3229.4
36868	8	12	2000	3232.5
36875	15	12	2000	3178.1
36882	22	12	2000	3142.9
36889	29	12	2000	3154.7
36896	5	1	2001	3240.7
36903	12	1	2001	3188.6
36910	19	1	2001	3254.5
36917	26	1	2001	3268.2
36924	2	2	2001	3304.7
36931	9	2	2001	3261.3
36938	16	2	2001	3267.1
36945	23	2	2001	3241.4
36952	2	3	2001	3280.2
36959	9	3	2001	3276.9
36966	16	3	2001	3197.1
36973	23	3	2001	3094.3
36980	30	3	2001	3096.9
36987	6	4	2001	3175.5
36994	13	4	2001	3216.1
37001	20	4	2001	3243.7
37008	27	4	2001	3237.3
37015	4	5	2001	3279.9
37022	11	5	2001	3326.3
37029	18	5	2001	3339.9
37036	25	5	2001	3361.7
37043	1	6	2001	3327.3
37050	8	6	2001	3365.4
37057	15	6	2001	3351.2
37064	22	6	2001	3364.7
37071	29	6	2001	3425.2
37078	6	7	2001	3303.2
37085	13	7	2001	3342.1
37092	20	7	2001	3328.1
37099	27	7	2001	3240.5
37106	3	8	2001	3348.4
37113	10	8	2001	3343.9
37120	17	8	2001	3275.4
37127	24	8	2001	3288.2
37134	31	8	2001	3217.8
37141	7	9	2001	3178.7
37148	14	9	2001	3040.8
37155	21	9	2001	2884.5
37162	28	9	2001	2988.0
37169	5	10	2001	3114.2
37176	12	10	2001	3159.0
37183	19	10	2001	3111.4
37190	26	10	2001	3209.8
37197	2	11	2001	3176.9
37204	9	11	2001	3224.1
37211	16	11	2001	3257.5
37218	23	11	2001	3270.6
37225	30	11	2001	3276.9
37232	7	12	2001	3312.7
37239	14	12	2001	3237.7
37246	21	12	2001	3314.1
37253	28	12	2001	3363.8
37260	4	1	2002	3374.3
37267	11	1	2002	3360.1
37274	18	1	2002	3331.2
37281	25	1	2002	3382.7
37288	1	2	2002	3386.0
37295	8	2	2002	3393.9
37302	15	2	2002	3420.4
37309	22	2	2002	3366.7
37316	1	3	2002	3362.1
37323	8	3	2002	3428.1
37330	15	3	2002	3356.7
37337	22	3	2002	3381.6
37344	29	3	2002	3363.3
37351	5	4	2002	3340.2
37358	12	4	2002	3307.7
37365	19	4	2002	3355.0
37372	26	4	2002	3329.2
37379	3	5	2002	3314.5
37386	10	5	2002	3279.1
37393	17	5	2002	3361.8
37400	24	5	2002	3338.3
37407	31	5	2002	3325.1
37414	7	6	2002	3295.7
37421	14	6	2002	3246.4
37428	21	6	2002	3204.5
37435	28	6	2002	3163.2
37442	5	7	2002	3164.3
37449	12	7	2002	3146.5
37456	19	7	2002	3058.0
37463	26	7	2002	2941.1
37470	2	8	2002	3002.8
37477	9	8	2002	3052.8
37484	16	8	2002	3084.2
37491	23	8	2002	3133.4
37498	30	8	2002	3073.6
37505	6	9	2002	3042.7
37512	13	9	2002	3080.0
37519	20	9	2002	3027.2
37526	27	9	2002	2965.6
37533	4	10	2002	2944.4
37540	11	10	2002	2883.0
37547	18	10	2002	2967.4
37554	25	10	2002	2967.4
37561	1	11	2002	2966.7
37568	8	11	2002	2972.6
37575	15	11	2002	2964.7
37582	22	11	2002	2999.4
37589	29	11	2002	3025.2
37596	6	12	2002	2990.7
37603	13	12	2002	2942.1
37610	20	12	2002	2978.8
37617	27	12	2002	2991.4
37624	3	1	2003	3025.7
37631	10	1	2003	3035.0
37638	17	1	2003	3024.7
37645	24	1	2003	3000.1
37652	31	1	2003	2935.4
37659	7	2	2003	2886.1
37666	14	2	2003	2804.4
37673	21	2	2003	2804.4
37680	28	2	2003	2778.4
37687	7	3	2003	2715.0
37694	14	3	2003	2724.2
37701	21	3	2003	2839.4
37708	28	3	2003	2861.2
37715	4	4	2003	2896.3
37722	11	4	2003	2908.3
37729	18	4	2003	2917.0
37736	25	4	2003	2961.7
37743	2	5	2003	2941.0
37750	9	5	2003	2928.2
37757	16	5	2003	2924.4
37764	23	5	2003	2967.0
37771	30	5	2003	2979.8
37778	6	6	2003	3018.1
37785	13	6	2003	3053.4
37792	20	6	2003	3055.2
37799	27	6	2003	3018.0
37806	4	7	2003	3000.8
37813	11	7	2003	3022.8
37820	18	7	2003	3064.9
37827	25	7	2003	3081.3
37834	1	8	2003	3126.0
37841	8	8	2003	3135.7
37848	15	8	2003	3142.8
37855	22	8	2003	3180.4
37862	29	8	2003	3202.9
37869	5	9	2003	3220.1
37876	12	9	2003	3195.2
37883	19	9	2003	3223.4
37890	26	9	2003	3175.7
37897	3	10	2003	3205.7
37904	10	10	2003	3266.2
37911	17	10	2003	3301.4
37918	24	10	2003	3266.2
37925	31	10	2003	3282.4
37932	7	11	2003	3265.5
37939	14	11	2003	3215.4
37946	21	11	2003	3175.3
37953	28	11	2003	3195.7
37960	5	12	2003	3232.1
37967	12	12	2003	3216.3
37974	19	12	2003	3238.5
37981	26	12	2003	3271.0
37988	2	1	2004	3309.8
37995	9	1	2004	3307.1
38002	16	1	2004	3298.1
38009	23	1	2004	3346.2
38016	30	1	2004	3283.6
38023	6	2	2004	3285.0
38030	13	2	2004	3347.8
38037	20	2	2004	3359.5
38044	27	2	2004	3372.5
38051	5	3	2004	3416.3
38058	12	3	2004	3402.1
38065	19	3	2004	3429.8
38072	26	3	2004	3424.2
38079	2	4	2004	3437.4
38086	9	4	2004	3456.6
38093	16	4	2004	3424.3
38100	23	4	2004	3461.9
38107	30	4	2004	3407.7
38114	7	5	2004	3401.2
38121	14	5	2004	3366.8
38128	21	5	2004	3394.2
38135	28	5	2004	3447.3
38142	4	6	2004	3466.6
38149	11	6	2004	3478.1
38156	18	6	2004	3523.3
38163	25	6	2004	3523.0
38170	2	7	2004	3531.5
38177	9	7	2004	3558.9
38184	16	7	2004	3533.5
38191	23	7	2004	3495.7
38198	30	7	2004	3546.1
38205	6	8	2004	3538.9
38212	13	8	2004	3495.7
38219	20	8	2004	3507.8
38226	27	8	2004	3568.7
38233	3	9	2004	3584.4
38240	10	9	2004	3602.5
38247	17	9	2004	3643.9
38254	24	9	2004	3635.6
38261	1	10	2004	3669.0
38268	8	10	2004	3696.0
38275	15	10	2004	3730.4
38282	22	10	2004	3722.1
38289	29	10	2004	3786.3
38296	5	11	2004	3854.5
38303	12	11	2004	3867.3
38310	19	11	2004	3887.3
38317	26	11	2004	3923.0
38324	3	12	2004	3951.4
38331	10	12	2004	3911.4
38338	17	12	2004	3995.3
38345	24	12	2004	4049.3
38352	31	12	2004	4053.1
38359	7	1	2005	4062.8
38366	14	1	2005	4062.9
38373	21	1	2005	4046.4
38380	28	1	2005	4096.4
