date	day	month	year	asx
37932	7	11	2003	3265.5
37939	14	11	2003	3215.4
37946	21	11	2003	3175.3
37953	28	11	2003	3195.7
37960	5	12	2003	3232.1
37967	12	12	2003	3216.3
37974	19	12	2003	3238.5
37981	26	12	2003	3271.0
37988	2	1	2004	3309.8
37995	9	1	2004	3307.1
38002	16	1	2004	3298.1
38009	23	1	2004	3346.2
38016	30	1	2004	3283.6
38023	6	2	2004	3285.0
38030	13	2	2004	3347.8
38037	20	2	2004	3359.5
38044	27	2	2004	3372.5
38051	5	3	2004	3416.3
38058	12	3	2004	3402.1
38065	19	3	2004	3429.8
38072	26	3	2004	3424.2
38079	2	4	2004	3437.4
38086	9	4	2004	3456.6
38093	16	4	2004	3424.3
38100	23	4	2004	3461.9
38107	30	4	2004	3407.7
38114	7	5	2004	3401.2
38121	14	5	2004	3366.8
38128	21	5	2004	3394.2
38135	28	5	2004	3447.3
38142	4	6	2004	3466.6
38149	11	6	2004	3478.1
38156	18	6	2004	3523.3
38163	25	6	2004	3523.0
38170	2	7	2004	3531.5
38177	9	7	2004	3558.9
38184	16	7	2004	3533.5
38191	23	7	2004	3495.7
38198	30	7	2004	3546.1
38205	6	8	2004	3538.9
38212	13	8	2004	3495.7
38219	20	8	2004	3507.8
38226	27	8	2004	3568.7
38233	3	9	2004	3584.4
38240	10	9	2004	3602.5
38247	17	9	2004	3643.9
38254	24	9	2004	3635.6
38261	1	10	2004	3669.0
38268	8	10	2004	3696.0
38275	15	10	2004	3730.4
38282	22	10	2004	3722.1
38289	29	10	2004	3786.3
38296	5	11	2004	3854.5
38303	12	11	2004	3867.3
38310	19	11	2004	3887.3
38317	26	11	2004	3923.0
38324	3	12	2004	3951.4
38331	10	12	2004	3911.4
38338	17	12	2004	3995.3
38345	24	12	2004	4049.3
